X,Y,Z,Count
A,C,S,43
A,C,N,45
A,R,S,51
A,R,N,66
B,C,S,51
B,C,N,39
B,R,S,35
B,R,N,32
C,C,S,67
C,C,N,54
C,R,S,32
C,R,N,30
